400.0,415.0
394.0,353.0
471.0,371.0
560.0,266.0
473.0,238.0
393.0,255.0
452.0,170.0
658.0,134.0
253.0,185.0
480.0,527.0
482.0,611.0
649.0,590.0
521.0,769.0
775.0,559.0
920.0,646.0
930.0,760.0
1041.0,808.0
1005.0,636.0
895.0,516.0
1026.0,479.0
847.0,391.0
784.0,388.0
757.0,327.0
760.0,223.0
892.0,305.0
855.0,217.0
1018.0,244.0
1098.0,325.0
1141.0,279.0
1201.0,209.0
1280.0,161.0
1258.0,269.0
1266.0,332.0
1217.0,394.0
1155.0,461.0
1310.0,538.0
1321.0,626.0
1410.0,606.0
1363.0,745.0
1429.0,741.0
1432.0,317.0
1422.0,172.0
99.0,99.0
